epoch,loss,recall@1,recall@5,recall@10,recall@20
1,1.9093736366870833,0.00390625,0.03125,0.04296875,0.0546875
2,1.7965021760840165,0.01953125,0.0859375,0.12890625,0.1796875
3,1.736716669613999,0.05078125,0.14453125,0.203125,0.28515625
4,1.7000509920224087,0.03515625,0.12109375,0.19921875,0.2890625
5,1.675494113548265,0.03125,0.17578125,0.2421875,0.34375
6,1.656268659823603,0.0625,0.16796875,0.25,0.3359375
7,1.6414615636295935,0.0390625,0.15234375,0.24609375,0.328125
8,1.6292057560922446,0.06640625,0.18359375,0.25,0.359375
9,1.6216562951757774,0.078125,0.19140625,0.28515625,0.40234375
10,1.612016770021885,0.09765625,0.23046875,0.30078125,0.3984375
11,1.6055650103113828,0.06640625,0.171875,0.28125,0.375
12,1.5976081469963337,0.08203125,0.2109375,0.29296875,0.41015625
13,1.59306055361476,0.09765625,0.2421875,0.3203125,0.43359375
14,1.5861148416671476,0.0703125,0.1875,0.265625,0.36328125
15,1.5834942811630166,0.08203125,0.21875,0.2890625,0.3984375
16,1.5780730636928995,0.08203125,0.19140625,0.296875,0.40625
17,1.5720987927892032,0.08984375,0.24609375,0.34375,0.4296875
18,1.5683682940616366,0.10546875,0.23828125,0.34375,0.43359375
19,1.5649290019933628,0.0703125,0.203125,0.2890625,0.3984375
20,1.5598720870303588,0.1015625,0.26953125,0.35546875,0.43359375
21,1.5588634860061257,0.11328125,0.2890625,0.375,0.4609375
22,1.553411091520652,0.0859375,0.21484375,0.2734375,0.39453125
23,1.5491735331592456,0.0703125,0.203125,0.28515625,0.40234375
24,1.5467762235288396,0.08203125,0.2421875,0.29296875,0.40625
25,1.544434562785223,0.0703125,0.203125,0.2890625,0.3828125
26,1.5416618081489188,0.08203125,0.2109375,0.2890625,0.3828125
27,1.5376394833497258,0.078125,0.2109375,0.29296875,0.40234375
28,1.5348892895582584,0.1015625,0.2421875,0.3515625,0.45703125
29,1.5355607918083343,0.06640625,0.16015625,0.25,0.375
30,1.5290648534812858,0.05859375,0.203125,0.296875,0.3828125
31,1.5282007626742935,0.05859375,0.23828125,0.3359375,0.45703125
