epoch,loss,recall@1,recall@5,recall@10,recall@20
1,1.9761853700540892,0.0,0.0,0.0,0.00390625
2,1.900196090584009,0.0078125,0.01953125,0.03125,0.04296875
3,1.8425727180474034,0.04296875,0.125,0.140625,0.1875
4,1.793722636253994,0.08203125,0.1796875,0.234375,0.328125
5,1.7533902137552113,0.08984375,0.25390625,0.30078125,0.38671875
6,1.722536113647281,0.15625,0.32421875,0.390625,0.46875
7,1.6973973774434001,0.1875,0.32421875,0.41015625,0.52734375
8,1.6750120445950711,0.2109375,0.390625,0.47265625,0.5546875
9,1.6573619788441598,0.18359375,0.375,0.46484375,0.55859375
10,1.641385515675138,0.22265625,0.375,0.4375,0.56640625
11,1.6284552853682945,0.265625,0.43359375,0.51171875,0.59765625
12,1.6166105674961735,0.2421875,0.44921875,0.5546875,0.6171875
13,1.6057390671243685,0.24609375,0.40234375,0.484375,0.546875
14,1.596349827823535,0.2578125,0.48046875,0.5546875,0.625
15,1.5893502473398475,0.26953125,0.453125,0.53125,0.5703125
16,1.5819658954000733,0.28515625,0.5078125,0.5625,0.64453125
17,1.5741530399357127,0.2578125,0.40625,0.48046875,0.58203125
18,1.5703419529158493,0.25390625,0.4375,0.50390625,0.59375
19,1.5647533242802005,0.27734375,0.46484375,0.5390625,0.609375
20,1.5583025152151035,0.26953125,0.4296875,0.51171875,0.58984375
21,1.5540577329005607,0.33203125,0.46875,0.546875,0.61328125
22,1.5504632584628955,0.3125,0.5234375,0.58984375,0.63671875
23,1.5462239335972254,0.34765625,0.54296875,0.58984375,0.6328125
24,1.543371190393036,0.3125,0.52734375,0.56640625,0.640625
25,1.5400274626356287,0.3203125,0.51953125,0.59375,0.640625
26,1.537393671414813,0.32421875,0.55859375,0.62109375,0.66015625
27,1.5350630690095213,0.33203125,0.515625,0.58984375,0.63671875
28,1.5323032668627758,0.328125,0.54296875,0.60546875,0.671875
29,1.5292811614415607,0.33203125,0.5546875,0.62890625,0.66796875
30,1.5273688741690883,0.296875,0.53515625,0.59375,0.66796875
31,1.525638021488155,0.34375,0.55859375,0.62890625,0.66796875
32,1.5237632167750392,0.34375,0.5,0.5703125,0.625
33,1.5220496273733095,0.32421875,0.52734375,0.6015625,0.65625
34,1.5208420463568935,0.3359375,0.515625,0.5546875,0.609375
35,1.5185254249728526,0.2890625,0.484375,0.54296875,0.625
36,1.5178983440849179,0.38671875,0.58203125,0.640625,0.67578125
37,1.5170972598226447,0.29296875,0.5,0.578125,0.62109375
38,1.5157439827702655,0.38671875,0.515625,0.60546875,0.671875
39,1.5149272437969699,0.33984375,0.53125,0.5703125,0.61328125
40,1.5154327623640778,0.328125,0.52734375,0.59375,0.64453125
41,1.513450813812699,0.33203125,0.50390625,0.56640625,0.625
42,1.5125091281430474,0.3203125,0.5234375,0.578125,0.6328125
43,1.5133456826859075,0.33984375,0.52734375,0.6328125,0.68359375
44,1.5117408980475147,0.328125,0.5078125,0.55859375,0.63671875
45,1.512592098673978,0.33203125,0.51171875,0.5625,0.625
46,1.510612136655624,0.34375,0.546875,0.62109375,0.70703125
